Name,Country
Akhvaz-1,Iran
Akhvaz-2,Iran
Akkuyu-2,Turkey
Akkuyu-3,Turkey
Akkuyu-4,Turkey
Armenia-3 (Armenian-3 / Metsamor),Armenia
Bargi-1 (Chutka-1),India
Bargi-2 (Chutka-2),India
Beloyarsk-5,Russian Federation
Braka-4,United Arab Emirates
Bushehr-2,Iran
Bushehr-3,Iran
Bushehr-4,Iran
Cernavoda-3,Romania
Darlington-5,Canada
Darlington-6,Canada
El Dabaa-1,Egypt
Haiyang-3,People's Republic of China
Haiyang-4,People's Republic of China
Hamaoka-6,Japan
Higashi-Dori-1 (Tokyo),Japan
Higashi-Dori-2 (Tohoku),Japan
Higashi-Dori-2 (Tokyo),Japan
Hinkley Point-C2,United Kingdom of Great Britain and Northern Ireland
Hongshiding-1 (Rushan-1),People's Republic of China
Hongshiding-2 (Rushan-2),People's Republic of China
Ignalina-3,Lithuania
Jaitapur-1,India
Jaitapur-2,India
Java-1 (Muria),Indonesia
Kaiga-5,India
Kaiga-6,India
Kaminoseki-1,Japan
Kaminoseki-2,Japan
Kudankulam-5,India
Kudankulam-6,India
Kumharia-1,India
Kumharia-2,India
Kumharia-3,India
Kumharia-4,India
Leningrad 2-3,Russian Federation
Leningrad 2-4,Russian Federation
Lianyungang-1,People's Republic of China
Lianyungang-2,People's Republic of China
Longyou-1,People's Republic of China
Longyou-2,People's Republic of China
Ningde-5,People's Republic of China
Ningde-6,People's Republic of China
Nizhegorod-1,Russian Federation
Nizhegorod-2,Russian Federation
Olkiluoto-4,Finland
Pengze-1,People's Republic of China
Pengze-2,People's Republic of China
Penly-3,France
Point Lepreau 2,Canada
Sanmen-3,People's Republic of China
Sanmen-4,People's Republic of China
Sanming-1,People's Republic of China
Sanming-2,People's Republic of China
Sendai-3,Japan
Shanwei-1,People's Republic of China
Shaoguan-1,People's Republic of China
Shaoguan-2,People's Republic of China
Shaoguan-3,People's Republic of China
Shaoguan-4,People's Republic of China
Sinop-1,Turkey
Sinop-2,Turkey
Sinop-3,Turkey
Sinop-4,Turkey
Sizewell-C1,United Kingdom of Great Britain and Northern Ireland
Sizewell-C2,United Kingdom of Great Britain and Northern Ireland
Sosnovy Bor-1,Russian Federation
Taohuajiang-1,People's Republic of China
Taohuajiang-2,People's Republic of China
Taohuajiang-3,People's Republic of China
Taohuajiang-4,People's Republic of China
Tsuruga-3,Japan
Tsuruga-4,Japan
Visaginas-1,Lithuania
Visaginas-2,Lithuania
Wolsong-5,"Korea, Republic of"
Wolsong-6,"Korea, Republic of"
Wuhu-1,People's Republic of China
Wuhu-2,People's Republic of China
Xianning-1,People's Republic of China
Xianning-2,People's Republic of China
Xiaomoshan (Jiulongshan) 1,People's Republic of China
Xiaomoshan (Jiulongshan) 2,People's Republic of China
Yanjiashan-1,People's Republic of China
Yanjiashan-2,People's Republic of China
Zhangzhou-1,People's Republic of China
