sample_pk,testclass
2,E
2,A
2,A
2,E
2,A
2,C
2,E
2,A
2,C
2,A
2,F
2,A
2,O
2,N
2,F
2,O
2,C
2,I
2,A
2,A
2,A
2,E
2,C
2,A
2,E
2,B
2,L
2,C
2,A
2,A
2,A
2,A
2,P
2,A
2,F
2,C
2,C
2,C
2,C
2,O
2,A
2,O
2,O
2,V
2,F
2,W
2,A
2,A
2,A
2,A
2,A
2,A
2,A
2,A
2,A
2,A
2,A
2,C
2,O
2,E
2,O
2,L
2,A
2,O
2,A
2,L
2,L
2,E
2,I
2,L
2,L
2,A
2,C
2,I
2,F
2,J
2,O
2,F
2,O
2,I
2,O
2,O
2,O
2,O
2,O
2,O
2,F
2,I
2,I
2,F
2,A
2,L
2,A
2,F
2,E
2,I
2,A
2,D
2,I
2,N
2,I
2,I
2,I
2,C
2,I
2,A
2,U
2,K
2,I
2,A
2,I
2,A
2,A
2,A
2,A
2,V
2,A
2,V
2,A
2,F
2,O
2,I
2,I
2,A
2,F
2,F
2,F
2,I
2,L
2,F
2,A
2,A
2,A
2,L
2,I
2,A
2,W
2,L
2,F
2,A
2,F
2,I
3,A
3,C
3,A
3,A
3,A
3,C
3,A
3,A
3,C
3,F
3,C
3,C
3,I
3,I
3,E
3,F
3,C
3,A
3,E
3,C
3,F
3,A
3,A
3,C
3,A
3,A
3,A
3,C
3,R
3,A
3,A
3,U
3,B
3,E
3,C
3,A
3,C
3,C
3,E
3,E
3,C
3,C
3,A
3,A
3,C
3,C
3,E
3,F
3,C
3,C
3,A
3,C
3,C
3,C
3,C
3,C
3,C
3,O
3,O
3,C
3,F
3,C
3,C
3,A
3,E
3,L
3,A
3,O
3,G
3,C
3,A
3,R
3,T
3,C
3,A
3,I
3,E
3,A
3,A
3,E
3,A
3,C
3,E
3,A
3,C
3,A
3,F
3,A
3,O
3,N
3,F
3,O
3,C
3,I
3,A
3,A
3,A
3,E
3,C
3,A
3,E
3,B
3,L
3,C
3,A
3,A
3,A
3,A
3,P
3,A
3,F
3,C
3,C
3,C
3,C
3,O
3,A
3,O
3,O
3,V
3,F
3,W
3,A
