growst,avg(T2.concen)
,0.0037705806795344486
AL,6.157635467980295e-05
AR,0.00022058823529411763
AZ,7.311320754716982e-05
CA,0.0016935391861716074
CO,0.0021061699258260284
FL,0.00082813501668084
GA,0.00048399820708202603
ID,0.01117563953488372
IN,0.0018923444976076554
MA,0.0016211822660098523
ME,0.0050591133004926105
MI,0.0030811111111111113
MN,0.0006577586206896552
NC,0.0015661549197487788
ND,0.004947263681592039
NE,0.030076354679802957
NJ,0.0004851815017404277
NY,0.0021273308957952468
OH,0.004030816473988439
OR,0.013121347678369196
PA,0.0019525617842073538
PR,0.0
SC,0.005449703043801039
TN,0.00044429037520391515
TX,0.0029892913161271924
UT,0.008834814814814814
VA,0.0004271238485158649
WA,0.0062454397990686
WI,0.00020221674876847291
