state,max(year)
Alabama,2017
Alaska,2017
Arizona,2017
Arkansas,2017
California,2017
Colorado,2017
Connecticut,2017
Delaware,2017
District of Columbia,2017
DoDEA,2017
Florida,2017
Georgia,2017
Hawaii,2017
Idaho,2017
Illinois,2017
Indiana,2017
Iowa,2017
Kansas,2017
Kentucky,2017
Louisiana,2017
Maine,2017
Maryland,2017
Massachusetts,2017
Michigan,2017
Minnesota,2017
Mississippi,2017
Missouri,2017
Montana,2017
National,2017
Nebraska,2017
Nevada,2017
New Hampshire,2017
New Jersey,2017
New Mexico,2017
New York,2017
North Carolina,2017
North Dakota,2017
Ohio,2017
Oklahoma,2017
Oregon,2017
Pennsylvania,2017
Rhode Island,2017
South Carolina,2017
South Dakota,2017
Tennessee,2017
Texas,2017
Utah,2017
Vermont,2017
Virginia,2017
Washington,2017
West Virginia,2017
Wisconsin,2017
Wyoming,2017
