min(votes),yearid
189.0,1936
,1937
,1938
,1939
182.0,1942
,1944
,1945
,1946
123.0,1947
93.0,1948
,1949
179.0,1951
195.0,1952
,1953
195.0,1954
,1955
152.0,1956
,1957
,1959
,1961
,1962
,1963
,1964
,1965
,1966
,1967
,1968
,1969
,1970
,1971
,1972
,1973
,1974
,1975
,1976
,1977
,1978
,1979
,1980
,1981
,1982
,1983
,1984
,1985
,1986
,1987
352.0,1988
,1989
363.0,1990
,1991
,1992
396.0,1993
,1994
,1995
,1996
,1997
,1998
,1999
,2000
,2001
433.0,2002
387.0,2003
421.0,2004
393.0,2005
,2006
532.0,2007
,2008
,2009
,2010
,2011
,2012
,2013
,2014
454.0,2015
365.0,2016
