player_id,award_id,min(T1.year - T2.birth_year)
alomaro01,ALCS MVP,24.0
griffke02,All-Star Game MVP,23.0
saberbr01,Babe Ruth Award,21.0
woodjo02,Baseball Magazine All-Star,20.0
kershcl01,Branch Rickey Award,25.0
johnsji04,Comeback Player of the Year,23.0
valenfe01,Cy Young Award,21.0
hubbske01,Gold Glove,21.0
pujolal01,Hank Aaron Award,23.0
lestejo01,Hutch Award,24.0
zimmery01,Lou Gehrig Memorial Award,27.0
bluevi01,Most Valuable Player,22.0
averyst01,NLCS MVP,21.0
bondto01,Pitching Triple Crown,21.0
kershcl01,Roberto Clemente Award,24.0
cordech01,Rolaids Relief Man Award,23.0
mayswi01,Rookie of the Year,20.0
valenfe01,Silver Slugger,21.0
willite01,TSN All-Star,21.0
forstte01,TSN Fireman of the Year,22.0
vaughar01,TSN Guide MVP,23.0
valenfe01,TSN Major League Player of the Year,21.0
valenfe01,TSN Pitcher of the Year,21.0
ayalabo01,TSN Player of the Year,-15.0
cordech01,TSN Reliever of the Year,23.0
hinespa01,Triple Crown,23.0
saberbr01,World Series MVP,21.0
