player_id,award_id,max(T1.year - T2.birth_year)
ueharko01,ALCS MVP,38.0
riverma01,All-Star Game MVP,44.0
winfida01,Babe Ruth Award,41.0
youngcy01,Baseball Magazine All-Star,41.0
lasorto01,Branch Rickey Award,79.0
riverma01,Comeback Player of the Year,44.0
clemero02,Cy Young Award,42.0
niekrph01,Gold Glove,44.0
bondsba01,Hank Aaron Award,40.0
moyerja01,Hutch Award,41.0
molitpa01,Lou Gehrig Memorial Award,41.0
bondsba01,Most Valuable Player,40.0
stargwi01,NLCS MVP,39.0
johnsra05,Pitching Triple Crown,39.0
wakefti01,Roberto Clemente Award,44.0
riverma01,Rolaids Relief Man Award,40.0
jethrsa01,Rookie of the Year,33.0
fiskca01,Silver Slugger,41.0
fiskca01,TSN All-Star,43.0
eckerde01,TSN Fireman of the Year,38.0
chandsp01,TSN Guide MVP,36.0
bondsba01,TSN Major League Player of the Year,40.0
spahnwa01,TSN Pitcher of the Year,40.0
willite01,TSN Player of the Year,39.0
riverma01,TSN Reliever of the Year,40.0
gehrilo01,Triple Crown,31.0
stargwi01,World Series MVP,39.0
