FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
2005,2453441.5,71,0215,4.0,Campfire,2453442.5,72,1800,2.0,B,33.34583333,-97.59583333,5.0,USFS,TX,,,
2005,2453636.5,266,1330,4.0,Campfire,2453637.5,267,0800,9.0,B,31.11694444,-95.08416667,13.0,STATE OR PRIVATE,TX,,,
2005,2453646.5,276,1400,4.0,Campfire,2453646.5,276,1652,3.0,B,30.57111111,-95.70138889,5.0,USFS,TX,,,
2005,2453706.5,336,1630,4.0,Campfire,2453706.5,336,2315,11.0,C,31.45361111,-93.77277778,5.0,USFS,TX,,,
2005,2453708.5,338,0930,4.0,Campfire,2453708.5,338,1045,0.1,A,31.0625,-95.09722222,5.0,USFS,TX,,,
2005,2453442.5,72,2000,4.0,Campfire,2453443.5,73,0945,2.0,B,31.12666667,-94.12416667,5.0,USFS,TX,,,
2005,2453487.5,117,1730,4.0,Campfire,2453487.5,117,2115,0.1,A,31.17222222,-94.30027778,5.0,USFS,TX,,,
2006,2453805.5,70,1230,4.0,Campfire,2453809.5,74,1600,34.0,C,31.0575,-95.09722222,5.0,USFS,TX,,,
2006,2453901.5,166,1230,4.0,Campfire,2453901.5,166,1700,12.0,C,31.14666667,-94.17194444,5.0,USFS,TX,,,
2006,2454015.5,280,1500,4.0,Campfire,2454016.5,281,1700,9.0,B,31.19361111,-94.86361111,5.0,USFS,TX,,,
2006,2453820.5,85,0335,4.0,Campfire,2453820.5,85,0830,3.0,B,31.30833333,-93.69166667,5.0,USFS,TX,,,
2007,2454377.5,277,1030,4.0,Campfire,2454377.5,277,1041,0.1,A,35.88194444,-100.1825,5.0,USFS,TX,211,211,Hemphill
2007,2454408.5,308,1609,4.0,Campfire,2454408.5,308,1810,0.1,A,31.55361111,-95.15861111,5.0,USFS,TX,225,225,Houston
2007,2454415.5,315,1500,4.0,Campfire,2454415.5,315,1530,0.1,A,31.48138889,-95.17166667,5.0,USFS,TX,225,225,Houston
2008,2454491.5,26,1224,4.0,Campfire,2454491.5,26,1730,6.0,B,33.42583333,-97.70138889,5.0,USFS,TX,497,497,Wise
2008,2454549.5,84,1125,4.0,Campfire,2454550.5,85,0900,0.5,B,31.38722222,-95.15416667,5.0,USFS,TX,225,225,Houston
2008,2454675.5,210,1345,4.0,Campfire,2454675.5,210,1414,0.1,A,33.37972222,-97.58333333,5.0,USFS,TX,497,497,Wise
2008,2454772.5,307,1900,4.0,Campfire,2454772.5,307,2025,4.0,B,31.69722222,-93.83,5.0,USFS,TX,419,419,Shelby
2008,2454777.5,312,1700,4.0,Campfire,2454782.5,317,1200,33.0,C,31.5625,-94.0,13.0,STATE OR PRIVATE,TX,419,419,Shelby
2009,2454850.5,19,1700,4.0,Campfire,2454850.5,19,2120,5.0,B,30.59361111,-95.32638889,13.0,STATE OR PRIVATE,TX,407,407,San Jacinto
2009,2454891.5,60,0900,4.0,Campfire,2454891.5,60,1600,82.0,C,31.74694444,-93.92083333,13.0,STATE OR PRIVATE,TX,419,419,Shelby
2009,2454853.5,22,2100,4.0,Campfire,2454854.5,23,0030,2.0,B,31.58972222,-93.85611111,5.0,USFS,TX,419,419,Shelby
2009,2454863.5,32,1405,4.0,Campfire,2454863.5,32,1600,0.6,B,31.19444444,-93.77083333,5.0,USFS,TX,403,403,Sabine
2009,2454881.5,50,1600,4.0,Campfire,2454881.5,50,1830,49.0,C,31.34583333,-95.04972222,5.0,USFS,TX,225,225,Houston
2009,2454891.5,60,1300,4.0,Campfire,2454891.5,60,1755,15.0,C,30.595,-95.16416667,13.0,STATE OR PRIVATE,TX,407,407,San Jacinto
2009,2455017.5,186,1355,4.0,Campfire,2455017.5,186,1425,0.1,A,31.38861111,-95.15611111,5.0,USFS,TX,225,225,Houston
1992,2448893.5,272,1220,4.0,Campfire,2448893.5,272,1330,1.0,B,30.51666667,-95.6,5.0,USFS,TX,,,
1992,2448883.5,262,1618,4.0,Campfire,2448883.5,262,1658,0.5,B,31.205,-95.12333333,13.0,STATE OR PRIVATE,TX,,,
1992,2448907.5,286,1545,4.0,Campfire,2448907.5,286,1730,6.0,B,31.28333333,-93.78333333,13.0,STATE OR PRIVATE,TX,,,
1992,2448907.5,286,1730,4.0,Campfire,2448907.5,286,1930,1.0,B,31.22166667,-93.72166667,5.0,USFS,TX,,,
1992,2448661.5,40,1635,4.0,Campfire,2448661.5,40,1800,5.5,B,33.29833333,-97.61333333,5.0,USFS,TX,,,
1993,2449247.5,260,1900,4.0,Campfire,2449248.5,261,0001,22.0,C,31.20166667,-94.33833333,5.0,USFS,TX,,,
1993,2449239.5,252,1135,4.0,Campfire,2449239.5,252,1500,6.0,B,30.51666667,-95.58333333,5.0,USFS,TX,,,
1993,2449261.5,274,2100,4.0,Campfire,2449261.5,274,2340,2.0,B,31.38833333,-93.735,5.0,USFS,TX,,,
1993,2449316.5,329,0300,4.0,Campfire,2449316.5,329,0350,0.1,A,31.29,-93.88333333,5.0,USFS,TX,,,
1993,2449319.5,332,1415,4.0,Campfire,2449320.5,333,1420,12.5,C,33.40166667,-97.62833333,13.0,STATE OR PRIVATE,TX,,,
1993,2449341.5,354,1315,4.0,Campfire,2449341.5,354,1500,2.0,B,33.35,-97.76833333,5.0,USFS,TX,,,
1994,2449561.5,209,0815,4.0,Campfire,2449561.5,209,1300,20.0,C,31.09944444,-94.20166667,5.0,USFS,TX,,,
1994,2449627.5,275,1400,4.0,Campfire,2449627.5,275,1515,3.0,B,31.32333333,-94.29888889,5.0,USFS,TX,,,
1994,2449628.5,276,1700,4.0,Campfire,2449628.5,276,1855,3.0,B,30.49333333,-95.60833333,5.0,USFS,TX,,,
1994,2449698.5,346,1430,4.0,Campfire,2449698.5,346,1700,0.1,A,30.53666667,-95.6,5.0,USFS,TX,,,
1994,2449391.5,39,1430,4.0,Campfire,2449391.5,39,1800,11.0,C,31.62166667,-93.9,5.0,USFS,TX,,,
1995,2450046.5,329,1300,4.0,Campfire,2450046.5,329,1530,0.1,A,31.10666667,-94.225,5.0,USFS,TX,,,
1995,2450062.5,345,1225,4.0,Campfire,2450062.5,345,1445,5.0,B,31.11666667,-94.335,5.0,USFS,TX,,,
1995,2450046.5,329,1330,4.0,Campfire,2450046.5,329,1900,25.0,C,31.35361111,-95.26666667,5.0,USFS,TX,,,
1995,2450051.5,334,1545,4.0,Campfire,2450051.5,334,1836,0.2,A,31.51222222,-95.28333333,13.0,STATE OR PRIVATE,TX,,,
1995,2450054.5,337,2130,4.0,Campfire,2450054.5,337,2330,3.0,B,31.475,-95.33333333,5.0,USFS,TX,,,
1995,2449968.5,251,2130,4.0,Campfire,2449969.5,252,0100,1.5,B,30.48833333,-95.625,5.0,USFS,TX,,,
1995,2450062.5,345,0700,4.0,Campfire,2450062.5,345,0830,1.0,B,30.465,-95.61166667,5.0,USFS,TX,,,
1995,2449836.5,119,1625,4.0,Campfire,2449836.5,119,1740,0.1,A,33.33333333,-97.59166667,5.0,USFS,TX,,,
1995,2449974.5,257,0900,4.0,Campfire,2449974.5,257,1030,0.5,B,31.36833333,-93.77333333,5.0,USFS,TX,,,
1995,2450047.5,330,1130,4.0,Campfire,2450047.5,330,1830,47.0,C,33.75333333,-95.89,5.0,USFS,TX,,,
1995,2450080.5,363,1137,4.0,Campfire,2450080.5,363,1700,3.0,B,33.35333333,-97.76666667,5.0,USFS,TX,,,
1996,2450126.5,44,1730,4.0,Campfire,2450126.5,44,2000,0.2,A,31.49166667,-93.77333333,13.0,STATE OR PRIVATE,TX,,,
1996,2450138.5,56,1700,4.0,Campfire,2450138.5,56,1745,0.1,A,31.20416667,-94.30833333,5.0,USFS,TX,,,
1996,2450151.5,69,1157,4.0,Campfire,2450151.5,69,1345,3.0,B,31.105,-95.14,5.0,USFS,TX,,,
1996,2450395.5,313,1645,4.0,Campfire,2450395.5,313,1815,2.0,B,31.5,-95.25527778,5.0,USFS,TX,,,
1996,2450187.5,105,1530,4.0,Campfire,2450188.5,106,1700,10.0,C,33.34166667,-97.59833333,5.0,USFS,TX,,,
1996,2450193.5,111,1145,4.0,Campfire,2450193.5,111,1415,4.0,B,33.39666667,-97.60333333,5.0,USFS,TX,,,
1996,2450193.5,111,1730,4.0,Campfire,2450193.5,111,1745,0.1,A,33.40833333,-97.58333333,5.0,USFS,TX,,,
