count(*),artist
5,
1,!ll.martians
3,!llmind
1,!llmind & joell ortiz
1,!llmind & skyzoo
1,!llmind & symbolyc one
1,!llmind & verbal kent
1,"""e""qual"
3,"""invictus"" mosai"
1,"""to"""
1,"""weird al"" yankovic"
1,#$ & gdp
1,#kipgang
1,#kno-1
1,#ltflow
1,#massacr
1,#theset
1,$.99 dreams
1,$1 bin & hucci
1,$3.33
1,$aturn & just a gent
1,$cenic
1,$crack money$
2,$crim
1,$crunk smitty$
1,$cvm
1,$idiλli
1,$igil
1,$in
2,$ludgehammer
2,$noregazzzm
1,$pvcemvn trip
2,$sounds$
24,$uicideboy$
3,$uicideboy$ & blvck smurf
1,$uicideboy$ & germ
1,$uicideboy$ & pouya
2,$uicideboy$ & rvmirxz
6,$wagg dinero
1,$wagg dinero & lil jojo
7,$waggot
1,$waggot & nexenus
1,$waggot & 音 light システム
1,$wank flacko
2,$yrup
1,$yrup & hush
1,&friends
4,&y.
4,'t hof van commerce
1,(((o)))
1,(astral)
1,(big/lies/no/hustle)dry chinaski
1,(dc)
1,(dc) & masego
13,(həd) p.e.
1,(moore)
1,(s)he
1,(snoogans)themadscientist
1,(zendan)زندان
1,(zendan)زندان & idntrmmbr.[覚えていない]
1,(øld) grape gød
1,)))nothingisreal)))
2,*67
1,*hitmayng
1,*kevobeats
1,*nsync & britney spears
1,*sb*
1,+indo-
4,+ma
1,+ma & maschmeyer
1,+verb
1,- ojmacoj -
1,-/purple_cobra\-
3,-topic.
1,.:$x$:.
5,.bess one.
2,.casting
2,.ciaиo
2,.cult
2,.finesse gawd
1,.ksun
1,.kznc & kiezin.
1,.l.w.h.
1,.sensi
1,.sinh
3,.vangokk
1,.čunfa
1,.◬ ι z ξ u s.
1,//purple_cobra\\
1,/\/\ore_gai/\/
3,/h/t/a/
4,/sixpointpros
2,00genesis
1,0118-vier
2,072
1,0800
2,1 minute miracles
1,1 pact rural
1,1 way anc
1,1$5soul
1,1% hangout
1,1-uik project
1,1.8.7. mortals
1,10 cents
1,10 k.a.n.s.
1,"10,000 cadillacs"
1,10-david
1,10-speed
2,1000 clowns
7,1000names
2,100s
1,100x
2,101
1,108 dragons
2,10a
1,10bass t
1,10iseewilliams
2,10th letter
1,10vers
1,10° below
6,11/5
7,112
6,113
1,113 & ap
2,116 clique
1,12 a'klok
3,12 gauge
1,12 gauge shotie & the jacka
1,12 jewelz
1,12 пакетов
1,12+
2,1200 hobos
2,1200 hobos & john doe
4,1200 techniques
1,12th planet & ras kass
1,12vince
2,12vince & slowy
5,13 & god
1,13 block
1,13palabras
2,13th son
1,14?
9,14kt
1,14kt & ab
1,15 minut projekt
1,1618
1,1618 & wodoo wolcan
1,1618 & youtaro
1,16yrold & divine
7,1773
1,1773 & trishes
1,18 karat
8,18+
2,183rd & smoke dza
1,184
1,184 & the purist
1,1865
1,187
1,187 fac
2,187 family
3,187 strassenbande
1,18k & sheytan
2,18sense.
1,18sense. & adjaman
1,18sense. & kenja
2,1984
1,1987 supply & dj breakemoff
2,1988
3,1995
1,1999
1,199four
3,1lady
1,1luv & ac lewis
1,1mt & git
1,1punch (원펀치)
2,1sagain (원써겐)
1,1st blood
1,1st degree & deep sleep
2,1st down
1,1ste one
1,1stn3rd
5,1tym
2,2 bal
1,2 bal 2 neg'
1,2 black 2 strong mmg
1,2 black basstuds
1,2 brothers on the 4th floor
22,2 chainz
1,2 demented
1,2 drunk'n poets
1,2 face
1,2 faces
1,2 hungry bros
1,2 hungry bros & 8thw1
1,2 hungry bros & p.so the earth tone king
3,2 hyped brothers and a dog
4,2 in a room
1,2 killa mafia
1,2 krayze
2,2 live jews
1,2 low
1,2 mad
1,2 many dj's
8,2 mello
1,2 mello & yasunori mitsuda (光田康典)
1,2 mics & a kit
1,2 milly
1,2 nes
1,2 of da realist
1,2 of the crew
3,2 pistols
1,2 real & krazy b
1,2 rude
3,2 skinnee j's
1,2 thick
1,2 thick & dj zirk
1,2 too many
1,2 unorthodox & juice
1,2% muck & spyder baybie raw dog
2,2-4 family
1,2-def
1,2-man cypher
1,2-twenty
1,20 below
1,20 fingers
4,20-2-life
1,2000fastwomen
1,200bpm & tilt
1,2012
1,2032
1,206ickness
1,2080
3,20syl
2,21 savage
1,21 savage & metro boomin
1,210west & ana venus
2,211 & skinny pimp
4,213
1,213 & warren g
1,215 asasinz
1,21:03
1,21dp
1,21st century dreamtime lions
1,22 savage
1,22tape
1,23 klikk
1,23klikk
2,24-7 spyz
1,24/7
1,24herbs (廿四味)
1,24k
1,25 is life
4,25/17
1,25/17 & грот
1,25/17 & дмитрий ревякин
1,254 street bosses
5,257ers
8,28 days
2,2am club
2,2bers & l*roneous
1,2bit
1,2boomin
2,2cztery7
1,2d (the second dimension)
5,2d6
1,2dk
1,2e monde
9,2econd class citizen
1,2face
1,2face idibia
2,2faces
1,2fch
1,2groove & disord3r
1,2groove & wu-tang clan
1,2gun5 beatz
3,2h company
1,2in-par
1,2late
1,2late & cracker jon
1,2legit2quit
1,2lson
1,2mal2
9,2mex
1,2mex & awol one
1,2mex & baldhead slick
1,2mex & life rexall
5,2nd ii none
1,2nd life entertainment presentz
1,2nd power
1,2nd sun
4,2ne1 (투애니원)
1,2ne1 (투애니원) & bigbang (빅뱅)
127,2pac
1,2pac & backyard band
1,2pac & boot camp clik
1,"2pac & lisa ""left eye"" lopes"
1,2pac & marvin gaye
2,2pac & outlawz
1,2pac & pink floyd
1,2pac & the game
2,2pac & the notorious b.i.g.
2,2pac & thug life
1,2pac & tony k
2,2pm (투피엠)
1,2rbina 2rista
2,2ruff
1,2secure
3,2tall
1,2tall & dudley perkins
1,2u4ubyu
2,2ugli
1,2ugli & bloody monk consortium
1,2up
2,2zio
2,3 grand
2,3 melancholy gypsys
1,3 memphis kniccas
1,3 mill rod
1,3 mustaphas 3
1,3 shades of rhythm
1,3 steps from nowhere
1,3 titans
1,3 x dope
1,3-2
3,3-card
1,3-deep
1,3-x-klan
2,30/70 collective
1,3010
1,31
1,310
7,311
1,313 bass mechanics
2,313phresh
1,321
1,333 boyz & schwarz
1,33hz
1,345
1,350
2,3582
1,36
7,360
1,360degrees
1,36zero
1,38 slug & pretty tony
1,380 dat lady
1,39 posse
6,3:33
1,3:33 & cannibal ox
1,3:ess & dj shorter
2,3astman
1,3ck
1,3ck & biomat
1,3d & roy ayers
1,3kubebeats & mr. miranda
3,3lw
10,3oh!3
4,3pac
1,3peat
3,3plusss
1,3pm
7,3rd bass
1,3rd eye
1,3rd faze
1,3rd phloor productions
1,3rdiiiuth
1,3rdiiiuth & raisik
1,3re tha hardaway
1,3real 5real
1,3t
1,3teeth
7,3x krazy
1,3y (yez yez yo)
3,4 deep
1,4 straight
1,4 the cause
1,4-2 tha dome
1,4-ever fresh
2,4-ize
1,4-x-sample
1,4.21
1,4.9.0 friedhof chiller
1,40 cal
4,40 glocc
1,40 thevz
1,40 watt hype
6,40 winks
1,40.mid
1,400 hyenes
1,400 hyènes
1,40000 gang
1,"404 device, king pheenix, madhatter, untested methods"
1,404 soldierz
1,40k & kustom
1,40th dimension
1,410 pharaohs
2,415
1,42ghosts
1,43zla
1,44 clique
2,45
1,45 niggaz
1,47
1,499
1,4am & octavius
1,4hero
1,4izacru
1,4life
1,4llsouls & chloe martini
1,4th assassin
1,4th avenue jones
2,4th disciple
1,4th disciple & one man
1,4th pyramid
1,4th25
1,4trackboy & echomann
1,4tune
1,4two7
7,5 & a dime
1,5 & a dime & basic physics
1,5 ela
3,5 elementz
1,5 family click & kool g rap
1,5 flat and brownson
1,5 majeur
85,50 cent
1,50 cent & dj jack beatz
1,50 cent & dj whiteowl
3,50 cent & g-unit
1,50 cent & jay z
2,50 cent & lloyd banks
1,50/50
3,50/50 twin
1,501
4,504 boyz
1,5150 mentally insane
1,52nd street
1,54-71
1,54-71 & kool keith
1,552 & natry
1,55th & koree blunt
2,57th street rogue dog villians
2,5am
1,5kinandbone5
1,5kinandbone5 & robert jeffrey
1,5loops
1,5loops & krick
1,5miinust
1,5quad
1,5tatic
2,5th child
1,5th chyld
1,5th crescent
1,5th seal & nutso
1,5th spear
8,5th ward boyz
1,5th ward juvenilez
5,5th ward weebie
1,6 bvck
3,6 pack čukur
2,6 shot
1,60 channels
1,60 second assassin
1,604 click
5,69 boyz
1,69 napalm
1,69 worms
22,6blocc
2,6er gascho
2,6fingers
1,6hunnit bj
1,6ix & logic
4,6lack
1,6mäki
1,6press
2,6th floor
1,6th sense
1,6yx 5yve & cadence
4,7 days of funk
1,7 g.e.m.s.
5,7 notas 7 colores
4,702
3,711kid
1,72 soul
1,740 boyz
1,75/85 south
1,750 rebels
1,76
1,77 karat gold
1,781
4,7even sun
1,7even sun & cans
1,7eventh 4loor
5,7eventhirty
2,7l
2,7l & beyonder
13,7l & esoteric
1,7l & main flow
1,7l & tall matt 
1,7th generation
1,7th octave
1,7th rail crew
1,7th sphere
1,7th veil
1,7ucas
1,8 floors down
1,8-bit
1,8-bit bandit & dumbfoundead
1,8-bit boys & ytcracker
1,8-bit crookz
1,8-off
2,80's babies
4,808 state & mc tunes
2,808ink
1,811 & ph.d.
4,813
3,83
1,86kiloherz
1,88 ultra
1,88 ultra & nacho picasso
1,88 ultra & no merci
2,88-keys
2,88:88
1,89 godzilla
11,8ball
1,8ball & e.d.i. mean
17,8ball & mjg
1,8bit cynics & jivin scientists
1,8earcub
2,8eight (에이트)
1,8er$
1,8er$ & soniye
1,8prn
1,8prn & heartbeat(s)
6,8reg
1,8thw1
2,8thw1 & pat van dyke
1,8tm
1,8up
1,8°6 crew
2,9 lazy 9
1,9 theory
1,9 trae family
1,90 bpm
1,90 lovers
1,90 mph
1,90 proof
1,90 prophets
5,90's bambino
1,9029
1,903 outlaws
1,90estudio
1,911
1,918
1,93 taught me
3,95 south
1,96wrld
1,98° & stevie wonder
