groupName,groupYear
superappin&#39;,1979
spiderap / a corona jam,1979
rapper&#39;s delight,1979
rap-o clap-o / el rap-o clap-o,1979
christmas rappin&#39;,1979
wack rap,1979
rhymin&#39; and rappin&#39; / watch dog,1979
spoonin rap,1979
sugarhill gang,1980
kurtis blow,1980
this is a party / the &quot;micstro&quot;,1980
that&#39;s the joint,1980
dallas / nightlife groove,1980
the breaks,1980
rhythm rap rock,1980
summer fun,1980
for men only,1980
buggs-b-skate,1980
city funk,1980
another one bites the dust,1980
the incredible hump,1980
coming home,1980
lookin&#39; good (shake your body),1980
maximus party,1980
do i make you feel better?,1980
"rappin&#39;, dancin&#39;, and laughin&#39;",1980
deuce,1981
love money / (money) no love,1981
it&#39;s nasty (genius of love),1981
8th wonder,1981
the beat,1981
live convention &#39;81,1981
do it any way you wanna,1981
double dutch bus,1981
the adventures of grandmaster flash on the wheels of steel / the party mix,1981
thriller,1982
pollywog stew ep,1982
weekend,1982
the message,1982
the message,1982
planet rock,1982
rockin&#39; it,1982
catch the beat,1982
live convention &#39;82,1982
jive rhythm trax,1982
!catch the beat! / !catch the groove!,1982
play at your own risk,1982
east coast poplock,1982
the escapades of futura 2000,1982
magic&#39;s wand,1982
flash it to the beat/fusion beats vol. 2,1982
can i get a soul clapp &quot;fresh out the pack&quot;,1982
e.t. boogie,1982
where ya at bw big melle,1982
buffalo gals,1982
(hey you) the rock steady crew,1983
it&#39;s a beat wave,1983
whodini,1983
duck rock,1983
street dance,1983
juicy fruit (vls),1983
future shock,1983
d&#39;ya like scratchin&#39;,1983
king of the beat,1983
lost in space,1983
whip it,1983
cooky puss,1983
two sisters lp,1983
wild style,1983
looking for the perfect beat,1983
death mix,1983
planet patrol,1983
when i hear music,1983
do you wanna dance,1983
arkade funk,1983
search and destroy,1983
grandmaster flash &amp; the furious five,1983
soweto,1983
punk rock rap,1983
get on up,1983
b-boy (oh-la-oh),1983
don&#39;t stop rappin&#39;,1983
beat bop,1983
to be or not to be (the hitler rap),1983
tour de france,1983
the best rapper on the scene,1983
the sequence party,1983
bubble up,1983
electro 2,1983
wildstyle,1983
spacey lady,1983
renegades of funk,1983
white lines (don&#39;t don&#39;t do it),1983
it&#39;s like that,1983
the crown,1983
in the 80&#39;s,1983
it&#39;s like that / sucker m.c.&#39;s,1983
white lines (don&#39;t do it) / message ii (survival),1983
radio activity,1983
double dutch,1983
streetsounds electro 1,1983
streetsounds electro 2,1983
play that beat mr. d.j.,1983
the party scene,1983
problems of the world,1983
project 5,1983
the return of capt. rock,1983
feel the force,1983
rap attack ii,1983
no sell out,1983
electric kingdom,1983
mr. t&#39;s commandments,1984
escape,1984
run-d.m.c.,1984
jam on it,1984
ego trip,1984
scratchin&#39;,1984
break dance party,1984
we come to rock,1984
automan / where&#39;s the beat,1984
fat boys,1984
beat street,1984
here comes that beat!,1984
we&#39;re rocking the planet,1984
request line / the roof is on fire (12 inch),1984
friends / five minutes of funk,1984
breakin&#39; original motion picture soundtrack ,1984
on the nile,1984
rappin&#39; duke 12&quot;,1984
freaks come out at night,1984
d&egrave;gout,1984
jam on revenge,1984
breakin&#39; 2 electric boogaloo,1984
mr. t&#39;s commandment,1984
fresh,1984
world destruction,1984
ready for battle,1984
jack it up,1984
"egypt, egypt",1984
the dmx will rock,1984
unity,1984
starchild,1984
can&#39;t afford,1984
hey d.j.,1984
greatest messages,1984
electro 3,1984
"dial-a-freak  / yes, yes, yes",1984
what people do for money,1984
can you feel it,1984
breakdance fever,1984
frantic situation,1984
surgery,1984
hip hop the original and the best,1984
essential electro - the business,1984
step off,1984
electro 6,1984
electro 5,1984
808 beats (eight hundred and eight beats),1984
jesse,1984
electric breakdance,1984
reckless / tebitan jam,1984
i need a beat,1984
street sounds uk electro,1984
street symphony,1984
she&#39;s fresh,1984
uprock,1984
breakdance,1984
doriella du fontaine,1984
siberian nights,1984
grandmaster melle mel &amp; the furious five,1984
keep on tryin&#39;,1984
b boys breakdance,1984
our vision of a man,1984
livin&#39; in the fast lane,1984
breakloose (breakdancin&#39;),1984
streetsounds electro 3,1984
streetsounds electro 4,1984
paname city rappin&#39;,1984
cold cash $ money,1984
breakdown new york style,1984
rap 1,1984
5 minutes,1984
twilight 22,1984
cosmic blast,1984
dynamic (total control),1984
capt. rock to the future shock,1984
reckless / tibetan jam,1984
einstein,1984
raiders of the lost groove,1984
don&#39;t let &#39;em drop the bomb,1984
beef box,1984
boogie down (bronx),1984
radio,1985
needle to the groove,1985
bassline,1985
fresh is the word,1985
the album,1985
"alice, i want you just for me!",1985
space is the place,1985
rock hard,1985
the fat boys are back,1985
lessons 1 - 3,1985
the roof is on fire (12&quot;),1985
beware (the funk is everywhere),1985
it&#39;s automatic / don&#39;t stop the rock,1985
they said it couldn&#39;t be done,1985
dedication,1985
u.t.f.o.,1985
america,1985
how could it be,1985
rock the bells,1985
psk (what does it mean),1985
king of rock,1985
the show,1985
the dream team is in the house!,1985
juice,1985
b boys style,1985
world class,1985
round 1,1985
queen of rox (shant&eacute; rox on),1985
confusion,1985
terminator,1985
naughty boy / whats your sign,1985
city life,1985
rapp will never die,1985
krush groove,1985
let&#39;s jam,1985
full force,1985
do you wanna get away,1985
85 live,1985
schoolly d,1985
big mouth,1985
we got to dance,1985
electro 10,1985
electro 9,1985
electro 8,1985
electro 7,1985
funk it up &#39;85,1985
axel f / like eddie did,1985
super bowl shuffle,1985
drum machine,1985
tommy boy greatest beats,1985
she&#39;s on it,1985
girls love the way he spins,1985
boogie down,1985
don&#39;t stop the rock,1985
she&#39;s a party girl,1985
sun city,1985
street sounds electro 7,1985
street sounds electro 8,1985
street sounds electro 9,1985
street sounds electro 6,1985
rap 2,1985
my hands are quicker than the eye,1985
we can&#39;t be held back,1985
nazi naz nakon &#1606;&#1575;&#1586;&#1740; &#1606;&#1575;&#1586; &#1606;&#1705;&#1606;,1985
life is a ghetto,1985
triple threat,1985
you ain&#39;t fresh,1985
the battle,1985
licensed to ill,1986
music madness,1986
planet rock: the album,1986
kool moe dee,1986
back to the old school,1986
"oh, my god!",1986
eric b. is president / my melody,1986
holiday rap,1986
original ill,1986
you be illin&#39;,1986
walk this way,1986
2 live is what we are,1986
saturday night! - the album,1986
enter planet dust,1986
princess,1986
my adidas / peter piper,1986
"1986-04-19 the apollo, new york city, ny",1986
the source,1986
paul revere,1986
"hot, cool &amp; vicious",1986
trow the d. and ghetto bass,1986
go see the doctor / monster crack,1986
fight for your right,1986
raising hell,1986
flip-flop,1986
licensed to ill (promo vinyl),1986
celebration rap,1986
kingdom blow,1986
vicious rumors,1986
back in black,1986
one track mind,1986
on fire,1986
now that&#39;s what  i call music 8,1986
winner in you,1986
chasin a  dream,1986
weightless,1986
laff attack,1986
rapped in romance,1986
girls ain&rsquo;t nothing but trouble,1986
bellevue patient,1986
something wild,1986
bring the beat back,1986
big &amp; beautiful,1986
it&#39;s my beat,1986
we&#39;ll be right back,1986
c&#39;mon every beatbox,1986
medicine show,1986
street sounds hip hop electro 12,1986
just buggin&#39;,1986
skeezer pleezer,1986
i can&#39;t wait (to rock the mike),1986
juice,1986
cuts like these,1986
goin&#39; off,1986
go see the doctor,1986
"make the music with your mouth, biz",1986
to give you love / make you shake,1986
the last laugh,1986
mr. magic&rsquo;s rap attack volume 2,1986
who the cap fits /mama used to say /billie jean,1986
black roses,1986
say what! (live in london),1986
bambaataa&#39;s theme (assault on precinct 13) / tension,1986
stockholmsnatt,1986
good to go (short fuse) - original motion picture soundtrack,1986
drag rap,1986
i ain&#39;t into that,1986
the word / sardines 12&quot;,1986
yo! bum rush the show,1987
criminal minded,1987
and the posse,1987
beats + pieces,1987
paid in full,1987
rhyme pays,1987
bigger and deffer (bad),1987
my posse,1987
pump up the volume,1987
tackhead tape time,1987
the red tape,1987
move somethin&rsquo;,1987
living large,1987
get into it,1987
raw,1987
rock the house,1987
you&rsquo;re gonna get yours,1987
bring the noise,1987
the lesson,1987
we want some pussy,1987
"raw, uncut, &amp; x-rated",1987
how ya like me now,1987
crushin&#39;,1987
the boyz-n-the hood,1987
the godfather of rap,1987
born to mack,1987
kool &amp; deadly (justicizms),1987
down by law,1987
the best part of the fat boys,1987
feel my power,1987
lyrical king (from the boogie down bronx),1987
"trouble over here, trouble over there",1987
girlfriend,1987
less than zero,1987
ba-dop-boom-bang,1987
move the crowd,1987
&#39;86 in the mix!,1987
throwdown,1987
open sesame,1987
"so def, so fresh, so stupid",1987
the hits album 7,1987
christmas rap,1987
dana dane with fame,1987
love changes,1987
i wanna dance 12&quot;,1987
just give the d.j. a break,1987
memories of love,1987
lethal,1987
rebel without a pause / bring the noise,1987
travelling at the speed of thought,1987
shopping,1987
diamonds,1987
