groupName,artist
superappin&#39;,grandmaster flash & the furious five
spiderap / a corona jam,ron hunt & ronnie g & the sm crew
rapper&#39;s delight,sugarhill gang
rap-o clap-o / el rap-o clap-o,joe bataan
christmas rappin&#39;,kurtis blow
wack rap,wackies disco rock band
rhymin&#39; and rappin&#39; / watch dog,ann winley & paulett winley & tanya winley
spoonin rap,spoonin gee
sugarhill gang,sugarhill gang
kurtis blow,kurtis blow
this is a party / the &quot;micstro&quot;,radiänce
that&#39;s the joint,funky 4 + 1
dallas / nightlife groove,the mexicano / b. bra
the breaks,kurtis blow
rhythm rap rock,count coolout
summer fun,"jackie ""small"" cochran"
for men only,millie jackson
buggs-b-skate,phil-marilyn & marilyn
city funk,demo-barry
another one bites the dust,sugar daddy
the incredible hump,sound on sound productions
coming home,mr. q
lookin&#39; good (shake your body),eddie cheba
maximus party,maximus three
do i make you feel better?,ngudu & the chocolate jam
"rappin&#39;, dancin&#39;, and laughin&#39;",blowfly
deuce,kurtis blow
love money / (money) no love,bo kool & funk masters
it&#39;s nasty (genius of love),grandmaster flash & the furious five
8th wonder,sugarhill gang
the beat,trouble funk
live convention &#39;81,various artists
do it any way you wanna,"mike ""t"""
double dutch bus,frankie smith
the adventures of grandmaster flash on the wheels of steel / the party mix,grandmaster flash & grandmaster flash & the furious five
thriller,michael jackson
pollywog stew ep,beastie boys
weekend,cold crush brothers
the message,grandmaster flash & the furious five
the message,grandmaster flash & the furious five
planet rock,afrika bambaataa & soulsonic force
rockin&#39; it,the fearless four
catch the beat,t-ski valley
live convention &#39;82,various artists
jive rhythm trax,willesden dodgers
!catch the beat! / !catch the groove!,grand groove bunch & t-ski valley
play at your own risk,planet patrol
east coast poplock,ronnie hudson & the street people
the escapades of futura 2000,futura 2000
magic&#39;s wand,whodini
flash it to the beat/fusion beats vol. 2,various artists
can i get a soul clapp &quot;fresh out the pack&quot;,grand wizard theodore & the fantastic romatic five
e.t. boogie,extra t's
where ya at bw big melle,grandmaster melle mel
