tag,groupName
1970s,superappin&#39;
disco,superappin&#39;
funk,superappin&#39;
1970s,rapper&#39;s delight
new.york,rapper&#39;s delight
united.states,rapper&#39;s delight
1970s,rap-o clap-o / el rap-o clap-o
disco,rap-o clap-o / el rap-o clap-o
funk,rap-o clap-o / el rap-o clap-o
soul,rap-o clap-o / el rap-o clap-o
christmas,christmas rappin&#39;
funk,rhymin&#39; and rappin&#39; / watch dog
soul,rhymin&#39; and rappin&#39; / watch dog
new.york,sugarhill gang
1980s,kurtis blow
new.york,kurtis blow
disco,this is a party / the &quot;micstro&quot;
funk,this is a party / the &quot;micstro&quot;
1980s,that&#39;s the joint
new.york,that&#39;s the joint
united.states,that&#39;s the joint
funk,dallas / nightlife groove
jazz,dallas / nightlife groove
soul,dallas / nightlife groove
1980s,the breaks
disco,the breaks
1980s,rhythm rap rock
disco,rhythm rap rock
funk,rhythm rap rock
new.york,rhythm rap rock
funk,summer fun
soul,summer fun
1970s,for men only
disco,for men only
funk,for men only
soul,for men only
1980s,buggs-b-skate
disco,buggs-b-skate
funk,buggs-b-skate
1980s,city funk
disco,city funk
funk,city funk
1980s,another one bites the dust
disco,another one bites the dust
funk,another one bites the dust
1980s,the incredible hump
disco,the incredible hump
funk,the incredible hump
1980s,coming home
disco,coming home
1980s,lookin&#39; good (shake your body)
disco,lookin&#39; good (shake your body)
funk,lookin&#39; good (shake your body)
soul,lookin&#39; good (shake your body)
1980s,maximus party
disco,maximus party
disco.funk,maximus party
funk,maximus party
instrumental,maximus party
new.york,maximus party
disco,do i make you feel better?
drums,do i make you feel better?
funk,do i make you feel better?
soul,do i make you feel better?
disco,"rappin&#39;, dancin&#39;, and laughin&#39;"
funk,"rappin&#39;, dancin&#39;, and laughin&#39;"
soul,"rappin&#39;, dancin&#39;, and laughin&#39;"
new.york,deuce
1980s,love money / (money) no love
disco,love money / (money) no love
funk,love money / (money) no love
new.york,8th wonder
1980s,the beat
go.go,the beat
1980s,live convention &#39;81
funk,do it any way you wanna
jazz,do it any way you wanna
soul,do it any way you wanna
1980s,double dutch bus
funk,double dutch bus
rhythm.and.blues,double dutch bus
turntablism,the adventures of grandmaster flash on the wheels of steel / the party mix
1980s,thriller
dance,thriller
disco,thriller
electronic,thriller
funk,thriller
pop,thriller
pop.rock,thriller
rhythm.and.blues,thriller
rock,thriller
soul,thriller
alternative,pollywog stew ep
hardcore.punk,pollywog stew ep
punk,pollywog stew ep
dub,the message
electro,the message
electronic,the message
electro,the message
funk,the message
new.york,the message
united.states,the message
1980s,planet rock
breaks,planet rock
dance,planet rock
electro,planet rock
electronic,planet rock
1980s,live convention &#39;82
1980s,jive rhythm trax
electronic,jive rhythm trax
1980s,!catch the beat! / !catch the groove!
disco,!catch the beat! / !catch the groove!
funk,!catch the beat! / !catch the groove!
1980s,play at your own risk
breaks,play at your own risk
dance,play at your own risk
electro,play at your own risk
electronic,play at your own risk
disco,east coast poplock
electronic,east coast poplock
funk,east coast poplock
electronic,the escapades of futura 2000
leftfield,the escapades of futura 2000
new.york,magic&#39;s wand
united.states,magic&#39;s wand
1980s,flash it to the beat/fusion beats vol. 2
1980s,can i get a soul clapp &quot;fresh out the pack&quot;
1980s,e.t. boogie
electro,e.t. boogie
electronic,e.t. boogie
folk,buffalo gals
pop,buffalo gals
turntablism,buffalo gals
1980s,(hey you) the rock steady crew
dance,(hey you) the rock steady crew
pop,(hey you) the rock steady crew
