Season,Datetime,Div,Country,League,Referee,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,B365H,B365D,B365A,LBH,LBD,LBA,BWH,BWD,BWA
2020/2021,2020-08-03 19:45:00,SC0,Scotland,Premier League,N Walsh,Ross County,Motherwell,1,0,H,1,0,H,3.32,3.54,2.19,3.2,3.4,2.2,,,,3.25,3.4,2.15
2019/2020,2020-08-02 19:45:00,I1,Italy,Serie A,,Bologna,Torino,1,1,D,1,0,H,2.17,4.16,3.01,2.15,4.0,2.9,,,,2.15,4.0,2.9
2019/2020,2020-08-02 19:45:00,I1,Italy,Serie A,,Sassuolo,Udinese,0,1,A,0,0,D,1.92,4.22,3.65,1.9,4.2,3.4,,,,1.91,4.1,3.4
2019/2020,2020-08-02 19:45:00,I1,Italy,Serie A,,Lecce,Parma,3,4,A,2,2,D,1.56,4.69,5.52,1.5,4.6,5.75,,,,1.53,4.4,5.5
2019/2020,2020-08-02 19:45:00,I1,Italy,Serie A,,Genoa,Verona,3,0,H,3,0,H,1.56,4.55,5.68,1.5,4.5,6.0,,,,1.5,4.5,5.75
2019/2020,2020-08-02 17:00:00,I1,Italy,Serie A,,Spal,Fiorentina,1,3,A,1,1,D,6.48,4.93,1.47,6.5,4.75,1.44,,,,6.25,4.75,1.45
2020/2021,2020-08-02 16:30:00,SC0,Scotland,Premier League,W Collum,Celtic,Hamilton,5,1,H,2,1,H,1.09,11.24,29.14,1.1,10.0,19.0,,,,1.09,9.5,23.0
2019/2020,2020-08-01 19:45:00,I1,Italy,Serie A,,Milan,Cagliari,3,0,H,1,0,H,1.34,5.77,8.41,1.33,5.75,7.5,,,,1.33,5.5,8.0
2019/2020,2020-08-01 19:45:00,I1,Italy,Serie A,,Atalanta,Inter,0,2,A,0,2,A,2.37,3.76,2.89,2.3,3.75,2.75,,,,2.3,3.7,2.8
2019/2020,2020-08-01 19:45:00,I1,Italy,Serie A,,Napoli,Lazio,3,1,H,1,1,D,2.85,3.87,2.36,2.8,3.8,2.3,,,,2.9,3.7,2.25
2019/2020,2020-08-01 19:45:00,I1,Italy,Serie A,,Juventus,Roma,1,3,A,1,2,A,2.86,4.07,2.29,2.7,4.2,2.2,,,,2.8,4.0,2.2
2019/2020,2020-08-01 17:00:00,I1,Italy,Serie A,,Brescia,Sampdoria,1,1,D,0,1,A,6.53,4.65,1.5,6.5,5.0,1.4,,,,6.5,4.75,1.44
2020/2021,2020-08-01 15:00:00,SC0,Scotland,Premier League,K Clancy,Dundee United,St Johnstone,1,1,D,1,0,H,2.68,3.34,2.73,2.7,3.3,2.55,,,,2.7,3.25,2.55
2020/2021,2020-08-01 15:00:00,SC0,Scotland,Premier League,J Beaton,Hibernian,Kilmarnock,2,1,H,2,1,H,2.12,3.47,3.57,2.05,3.4,3.5,,,,2.15,3.25,3.4
2020/2021,2020-08-01 15:00:00,SC0,Scotland,Premier League,D Robertson,St Mirren,Livingston,1,0,H,1,0,H,2.97,3.29,2.5,2.8,3.3,2.45,,,,2.8,3.25,2.45
2020/2021,2020-08-01 12:30:00,SC0,Scotland,Premier League,B Madden,Aberdeen,Rangers,0,1,A,0,1,A,7.45,4.61,1.45,7.0,4.75,1.4,,,,7.0,4.6,1.4
2019/2020,2020-07-31 20:00:00,I2,Italy,Serie B,,Virtus Entella,Cittadella,2,3,A,2,2,D,3.94,3.31,2.07,4.0,3.2,2.0,,,,3.9,3.2,2.0
2019/2020,2020-07-31 20:00:00,I2,Italy,Serie B,,Cosenza,Juve Stabia,3,1,H,2,1,H,1.8,3.69,4.69,1.75,3.7,4.5,,,,1.72,3.6,4.75
2019/2020,2020-07-31 20:00:00,I2,Italy,Serie B,,Ascoli,Benevento,2,4,A,0,3,A,1.78,3.48,5.09,1.72,3.5,5.0,,,,1.8,3.3,4.75
2019/2020,2020-07-31 20:00:00,I2,Italy,Serie B,,Frosinone,Pisa,1,1,D,0,0,D,2.08,3.36,3.84,2.0,3.3,3.8,,,,2.05,3.2,3.75
